"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"62","Deewaar","1975","N/A","01 May 1979","174 min","Action, Crime, Drama","Yash Chopra","Javed Akhtar (dialogue), Javed Akhtar (screenplay), Javed Akhtar (story), Salim Khan (dialogue), Salim Khan (screenplay), Salim Khan (story)","Shashi Kapoor, Amitabh Bachchan, Neetu Singh, Nirupa Roy","Vijay struggles as a dockworker. Eventually, he becomes a leading figure of the underworld, while his younger brother, Ravi, is an educated, upright policeman. This divide causes problems in their relationship.","Hindi","India","7 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NDM4MjYwOV5BMl5BanBnXkFtZTcwMDM3ODgzMQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","7,314","tt0072860","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/deewaar-wall-ill-die-for-mama/","30 Mar 2004","N/A","N/A","N/A","True"
"63","Anniyan","2005","N/A","10 Jun 2005","157 min","Action, Drama, Horror","S. Shankar","S. Shankar (screenplay), S. Shankar (story), S. Shankar, Sujatha (dialogue)","Vikram, Sada, Prakash Raj, Vivek","A disillusioned everyman, frustrated with the corruption he sees all around him, develops multiple personalities in order to restore justice.","Tamil, Telugu, French, Hindi, Hindi","India","14 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTVkYzdjNGEtNTRhMC00ZjM2LWIyYjgtZjdmYmEzYjZlZTA1XkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","8,604","tt0376127","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/anniyan/","21 Aug 2007","N/A","Aascar Films","N/A","True"
"64","Haider","2014","N/A","02 Oct 2014","160 min","Action, Crime, Drama","Vishal Bhardwaj","William Shakespeare (based on the play ""Hamlet"" by), Basharat Peer (screenplay), Vishal Bhardwaj (screenplay), Vishal Bhardwaj (dialogue)","Tabu, Shahid Kapoor, Shraddha Kapoor, Kay Kay Menon","A young man returns to Kashmir after his father's disappearance to confront his uncle - the man he suspects of playing a role in his father's fate.","Hindi","India","13 wins & 32 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1NTEwMDMxMF5BMl5BanBnXkFtZTgwODkzMzI0MjE@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","40,968","tt3390572","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/haider/","N/A","N/A","UTV Communications","N/A","True"
"65","Mother India","1957","N/A","14 Feb 1957","172 min","Drama, Musical, Family","Mehboob Khan","Wajahat Mirza (dialogue), S. Ali Raza (dialogue)","Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar","In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code.","Hindi","India","Nominated for 1 Oscar. Another 6 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3MzI1MTc1Nl5BMl5BanBnXkFtZTcwMDkwMzMyMQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","53","8.1","6,243","tt0050188","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/mother_india/","25 Feb 2003","N/A","Eros Entertainment","N/A","True"
"66","Masaan","2015","N/A","24 Jun 2015","109 min","Drama, Romance","Neeraj Ghaywan","Varun Grover","Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathy","Four lives intersect along the Ganges: a low caste boy hopelessly in love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and...","Hindi","India, France","11 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NTE0NTMyNl5BMl5BanBnXkFtZTgwNjI5MDkxNjE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","12,522","tt4635372","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/fly_away_solo/","N/A","N/A","N/A","N/A","True"
"67","Dev D","2009","N/A","06 Feb 2009","144 min","Comedy, Drama, Romance","Anurag Kashyap","Saratchandra Chatterjee (novel), Abhay Deol (concept), Vikramaditya Motwane, Anurag Kashyap","Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?","Hindi, Panjabi, English, French, Tamil","India","6 wins & 11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYjU1NjczNzYtYmFjOC00NzkxLTg4YTUtNGYzMTk3NTU0ZDE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","22,766","tt1327035","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/dev_d/","24 Nov 2009","N/A","UTV Communications","http://www.devdthefilm.com","True"
"68","Gulaal","2009","N/A","13 Mar 2009","140 min","Crime, Drama, Thriller","Anurag Kashyap","Raj Singh Chaudhary (story), Anurag Kashyap (screenplay), Anurag Kashyap (story), Aparnaa Malhotra (story), Sanjay Maurya (story)","Kay Kay Menon, Raj Singh Chaudhary, Jesse Randhawa, Deepak Dobriyal","A law student witnesses deception, homicide, and crime after being elected as General Secretary of his college.","Hindi","India","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYzVhYzc2YjMtOGU0Ny00OTg5LWFkZTctOWY1YjI4NzZiMWNiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","10,296","tt1261047","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/gulaal/","N/A","N/A","N/A","N/A","True"
"69","Athadu","2005","NOT RATED","10 Aug 2005","172 min","Action, Comedy, Musical","Trivikram Srinivas","Trivikram Srinivas","Mahesh Babu, Trisha Krishnan, Prakash Raj, Sonu Sood","A gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police.","Telugu, Hindi","India","1 win & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMDU4MDQ3YWItY2ViMy00NTM5LTg0NjQtMWIxN2ExZmU0ZTE0XkEyXkFqcGdeQXVyMjMyNjkwMTY@._V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","7,426","tt0471571","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/athadu/","26 Sep 2006","N/A","Sri Jayabheri Art Productions","N/A","True"
"70","Bombay","1995","N/A","10 Mar 1995","130 min","Drama, Musical, Romance","Mani Ratnam","Mani Ratnam (screenplay), Mani Ratnam (story), Umesh Sharma (dialogue)","Arvind Swamy, Manisha Koirala, Tinnu Anand, Akash Khurana","A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.","Tamil, Hindi","India","11 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MzkxODgyMF5BMl5BanBnXkFtZTcwMDk3NDgxMQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","7,871","tt0112553","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/bombay/","25 Mar 2003","N/A","Amitabh Bachchan Corporation","N/A","True"
"71","Lucia","2013","NOT RATED","06 Sep 2013","135 min","Drama, Romance, Sci-Fi","Pawan Kumar","Pawan Kumar (story), Pawan Kumar, Pawan Kumar","Sathish Neenasam, Sruthi Hariharan, Achyuth Kumar, Sabreen Baker","A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.","Kannada","India","4 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDA5ODkzN15BMl5BanBnXkFtZTgwMjIzMDkyMDE@._V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","9,103","tt2358592","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"72","Company","2002","N/A","15 Apr 2002","155 min","Action, Crime, Drama","Ram Gopal Varma","Jaideep Sahni","Ajay Devgn, Mohanlal, Manisha Koirala, Seema Biswas","A small-time gangster named Chandu teams up with Malik, a low-level enforcer for a criminal syndicate. Together they eliminate all their enemies, becoming the most feared gangsters in Mumbai.","Hindi","India","16 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMGRkNDJlZmEtZGNhNi00OTRhLWE5NDUtYmMwNGZjMzU0MDk5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","11,043","tt0296574","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/1153799-company/","18 Oct 2005","N/A","Image Entertainment","N/A","True"
"73","Special 26","2013","N/A","08 Feb 2013","144 min","Crime, Drama, History","Neeraj Pandey","Neeraj Pandey","Anupam Kher, Manoj Bajpayee, Akshay Kumar, Jimmy Shergill","A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.","Hindi","India","11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","38,444","tt2377938","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/special_26/","N/A","N/A","Viva Entertainment","N/A","True"
"74","Hindustani","1996","N/A","23 Aug 1996","185 min","Action, Drama","S. Shankar","S. Shankar (screenplay), S. Shankar (story), Sujatha (dialogue)","Kamal Haasan, Nedumudi Venu, Manisha Koirala, Urmila Matondkar","Senapathy, a veteran freedom fighter, is angry. He is angry about the rampant corruption at every level of the bureaucracy. He will clean it up at any cost.","Tamil, Hindi, Telugu","India","9 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3Nzg0Mjg4MF5BMl5BanBnXkFtZTcwNzU3NzQyMQ@@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","6,887","tt0116630","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/indian_1996/","01 Sep 2005","N/A","N/A","N/A","True"
"75","Jab We Met","2007","N/A","26 Oct 2007","138 min","Comedy, Drama, Romance","Imtiaz Ali","Imtiaz Ali","Shahid Kapoor, Kareena Kapoor Khan, Tarun Arora, Dara Singh","A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.","Hindi, Panjabi, English","India","7 wins & 14 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjExODIzNjU3N15BMl5BanBnXkFtZTcwNjk4NTk5Mw@@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","35,075","tt1093370","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/jab_we_met/","08 Jan 2008","N/A","Studio 18","http://www.jabwemetthefilm.com/","True"
"76","Manjhi: The Mountain Man","2015","N/A","21 Aug 2015","120 min","Biography, Drama, History","Ketan Mehta","Shahzad Ahmad (research and dialogue), Jakhar Mahendar (screenplay), Ketan Mehta (screenplay), Deepak Ramola (lyricist), Shaiwal (dialogue consultant), Varadraj Swami (research and dialogue)","Nawazuddin Siddiqui, Radhika Apte, Ashutosh Acharya, Shahzad Ahmad","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.","Hindi","India","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NzM3NjkwNl5BMl5BanBnXkFtZTgwMjc1NDUzNjE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","13,089","tt3449292","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/manjhi_the_mountain_man/","N/A","N/A","N/A","N/A","True"
"77","Vaastav: The Reality","1999","N/A","07 Oct 1999","145 min","Crime, Drama, Thriller","Mahesh Manjrekar","Imtiaz Hussain (dialogue), Mahesh Manjrekar (screenplay), Mahesh Manjrekar (story)","Sanjay Dutt, Namrata Shirodkar, Mohnish Bahl, Ekta Sohini","Consequences force an innocent man to get involved in crime after making an error.","Hindi","India","4 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMzE5MTc1OV5BMl5BanBnXkFtZTcwMDk2ODgzMQ@@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","8,571","tt0220832","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/vaastav/","30 Nov 1999","N/A","N/A","N/A","True"
"78","Airlift","2016","NOT RATED","22 Jan 2016","130 min","Adventure, Drama, History","Raja Menon","Raja Menon (story), Ritesh Shah (screenplay), Suresh Nair (screenplay), Raja Menon (screenplay), Rahul Nangia (screenplay), Ritesh Shah (dialogue)","Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi","When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","Hindi, Malayalam, Arabic","India","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZGE1ZTZhNmQtYzhmNC00MjE4LTg4NDUtY2I4N2Y3OTgwZjljXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","40,386","tt4387040","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/airlift/","N/A","$168,391","Alchemy","N/A","True"
"79","Bajrangi Bhaijaan","2015","N/A","17 Jul 2015","163 min","Adventure, Comedy, Drama","Kabir Khan","Vijayendra Prasad (original story), Vijayendra Prasad (screenplay), Kabir Khan (screenplay), Parveez Sheikh (screenplay), Asad Hussain (screenplay), Kausar Munir (dialogue), Kabir Khan (dialogue)","Salman Khan, Kareena Kapoor Khan, Nawazuddin Siddiqui, Harshaali Malhotra","A man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.","Hindi, Urdu","India","14 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NjQ5ODc2NV5BMl5BanBnXkFtZTgwOTM5ODIxNjE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","50,211","tt3863552","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/bajrangi_bhaijaan/","N/A","N/A","N/A","N/A","True"
"80","Ankhon Dekhi","2013","N/A","21 Mar 2014","107 min","Comedy, Drama","Rajat Kapoor","Rajat Kapoor","Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur","Ankhon Dekhi centers around Raje Bauji, played by Sanjay Mishra who, after a dramatic incident, decides that he will only believe what he sees with his eyes.","Hindi","India","5 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1ODMzOTA5MV5BMl5BanBnXkFtZTgwOTA2MTAzMjE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","5,879","tt3614516","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/ankhon_dekhi/","N/A","N/A","N/A","N/A","True"
"81","Baahubali: The Beginning","2015","N/A","09 Jul 2015","159 min","Action, Adventure, Drama","S.S. Rajamouli","Vijayendra Prasad (story by), S.S. Rajamouli (screenplay), C.H. Vijay Kumar (telugu dialogue), Ajay Kumar (telugu dialogue), Madhan Karky (tamil dialogue), Manoj Muntashir (hindi dialogue)","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia","In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.","Telugu, Tamil","India","2 wins & 7 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYmE4YjFmNWQtYTk5ZC00OGU3LWFlOTQtNThmYjBhZjhlNzU5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","8.3/10","N/A","8.3","78,179","tt2631186","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/baahubali_the_beginning/","N/A","N/A","Arka Media Works","http://baahubali.com/","True"
"82","Kal Ho Naa Ho","2003","N/A","28 Nov 2003","186 min","Comedy, Drama, Romance","Nikkhil Advani","Niranjan Iyengar (dialogue), Karan Johar (screenplay), Karan Johar (story)","Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bhaduri","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.","Hindi, Urdu, Gujarati, Panjabi","India","32 wins & 39 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNzU2MDczOV5BMl5BanBnXkFtZTcwNTU5NTk5Mw@@._V1_SX300.jpg","Internet Movie Database","8.0/10","54","8.0","50,278","tt0347304","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/1135237-kal_ho_naa_ho/","18 May 2004","$1,787,378","Yash Raj Films","http://www.khnhthefilm.com/","True"
"83","Hey Ram","2000","N/A","18 Feb 2000","186 min","Drama, History","Kamal Haasan","Kamal Haasan, Manohar Shyam Joshi (Hindi dialogue)","Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Hema Malini","Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets out to kill him.","Tamil, Hindi","India","5 wins & 7 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNjI5MTg4MTQ0Ml5BMl5BanBnXkFtZTcwNDI2ODkxMQ@@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","8,335","tt0222012","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/hey_ram/","25 May 2004","N/A","N/A","N/A","True"
"84","Baby","2015","N/A","23 Jan 2015","159 min","Action, Adventure, Thriller","Neeraj Pandey","Neeraj Pandey","Akshay Kumar, Danny Denzongpa, Rana Daggubati, Tapsee Pannu","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.","Hindi","India","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMDUzMzk0NV5BMl5BanBnXkFtZTgwODczODg4MzE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","41,980","tt3848892","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/baby_2015/","N/A","N/A","PVS","https://www.facebook.com/BabyTheFilm","True"
"85","Ab Tak Chhappan","2004","N/A","27 Feb 2004","129 min","Crime, Drama, Thriller","Shimit Amin","Sandeep Srivastava (dialogue), Sandeep Srivastava (screenplay)","Nana Patekar, Revathy, Yashpal Sharma, Mohan Agashe","Aan honest cop named Sadhu Agashe makes a name for himself by killing criminals in sting operations instead of locking them up in prison. The film follows his method of working, gives an ...","Hindi","India","2 wins & 15 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMzNkYzEyMDItNWI1OS00YjYxLTljNDUtYzZkYWFhMzdjNjg1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","4,950","tt0402014","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/ab_tak_chhappan_2006/","04 Aug 2004","N/A","N/A","N/A","True"
"86","Lakshya","2004","N/A","18 Jun 2004","186 min","War, Drama, Romance","Farhan Akhtar","Javed Akhtar (dialogue), Javed Akhtar (screenplay), Javed Akhtar (story), Karan Kashyap (dialogue supervisor)","Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Om Puri","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.","Hindi, English","India","3 wins & 10 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM5MzQwNTk4OF5BMl5BanBnXkFtZTgwMDc2MTYzNjE@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","14,456","tt0323013","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/lakshya/","25 Jan 2005","$700,085","Excel Entertainment","N/A","True"
"87","Johnny Gaddaar","2007","N/A","28 Sep 2007","135 min","Crime, Drama, Thriller","Sriram Raghavan","Vinay Choudary (additional screenplay), Sriram Raghavan","Dharmendra, Rimi Sen, Ashwini Kalsekar, Neil Nitin Mukesh","Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.","Hindi","India","3 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDE4MmU1YTktMzY1OS00NWQ4LWExZmYtZjI3MzJjNGIxZTcxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","8,385","tt1077248","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/johnny-gaddaar/","24 Oct 2007","N/A","N/A","N/A","True"
"88","My Name Is Khan","2010","PG-13","12 Feb 2010","165 min","Adventure, Drama, Romance","Karan Johar","Shibani Bathija (story and screenplay), Shibani Bathija (dialogue), Niranjan Iyengar (dialogue)","Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty","An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President seriously, and embarks on a cross-country journey.","Hindi, Urdu, English","India","10 wins & 11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_SX300.jpg","Internet Movie Database","8.0/10","50","8.0","79,249","tt1188996","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/my_name_is_khan/","10 Aug 2010","$3,931,456","Fox Searchlight","http://www.mynameiskhanthefilm.com","True"
"89","Gangaajal","2003","N/A","29 Aug 2003","157 min","Crime, Drama","Prakash Jha","Prakash Jha (screenplay)","Ajay Devgn, Gracy Singh, Mohan Joshi, Yashpal Sharma","An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.","Hindi","India","3 wins & 26 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYjRjOWViZTgtYjA4Ny00MWJiLTkxYzktMzdlOGRmMWYwOTdjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","10,953","tt0373856","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/gangaajal-2003/","25 Nov 2003","N/A","N/A","N/A","True"
"90","English Vinglish","2012","NOT RATED","05 Oct 2012","134 min","Comedy, Drama, Family","Gauri Shinde","Gauri Shinde","Sridevi, Adil Hussain, Mehdi Nebbou, Priya Anand","A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.","Hindi, English, French, Tamil, Telugu","India","8 wins & 15 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ5YWVmYmYtOWFiZC00NGMxLWEwODctZDM2MWI4YWViN2E5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","25,185","tt2181931","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/english_vinglish/","20 Nov 2012","$1,416,189","Eros Entertainment","http://www.englishvinglishacademy.com/","True"
"91","Vaaranam Aayiram","2008","N/A","14 Nov 2008","169 min","Drama, Musical, Romance","Gautham Menon","Meghana Karthik (subtitles), Gautham Menon","Suriya, Simran, Ramya, Sameera Reddy","A father and son help each other through growing up, romance, tragedy, and adventure.","Tamil","India","7 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTY1MjAzOV5BMl5BanBnXkFtZTgwOTQ1NzE2NDE@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","5,003","tt1180583","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/vaaranam-aayiram/","N/A","N/A","N/A","N/A","True"
"92","Border","1997","R","13 Jun 1997","176 min","Action, War","J.P. Dutta","J.P. Dutta (screenplay), O.P. Dutta (dialogue)","Rakhee Gulzar, Sunny Deol, Jackie Shroff, Sunil Shetty","In 1971, along the border region of Longewala, a small battalion of Indian soldiers goes up against a large Pakistani strike force.","Hindi, English, Panjabi, Rajasthani","India","7 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BYzZjNzE4MjMtODExYS00MGJhLWJmZDUtMmJkYWZlN2VjNTkzXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","8,499","tt0118751","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/1150591-border/","08 Dec 1998","N/A","N/A","N/A","True"
"93","Manam","2014","N/A","22 May 2014","163 min","Comedy, Drama, Fantasy","Vikram K. Kumar","Harshavardhan (dialogue), Vikram K. Kumar (story & screenplay), Mukund Pandey (story development)","Akkineni Nageshwara Rao, Nagarjuna Akkineni, Naga Chaitanya Akkineni, Samantha Ruth Prabhu","Through reincarnation, family members are able to cross generations and meddle in each others' lives.","Telugu","India","2 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMjc3NzEzMV5BMl5BanBnXkFtZTgwNzI3NzU4MzE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","6,993","tt2926068","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/manam/","N/A","N/A","Cinegalaxy","https://www.facebook.com/ManamTheFilm","True"
